10	t ə n
10	t ɛ n
10	t ɪ n
160	w ʌ n h ʌ n d ɹ ə d æ n d s ɪ k s t ɪ
160	w ʌ n h ʌ n d ɹ ə d ə n d s ɪ k s t ɪ
160	w ʌ n h ʌ n d ɹ ɪ d æ n d s ɪ k s t ɪ
160	w ʌ n h ʌ n d ɹ ɪ d ə n d s ɪ k s t ɪ
160	ə ʊ n h ʌ n d ɹ ə d æ n d s ɪ k s t ɪ
160	ə ʊ n h ʌ n d ɹ ə d ə n d s ɪ k s t ɪ
160	ə ʊ n h ʌ n d ɹ ɪ d æ n d s ɪ k s t ɪ
160	ə ʊ n h ʌ n d ɹ ɪ d ə n d s ɪ k s t ɪ
200	t u h ʌ n d ɹ ə d
200	t u h ʌ n d ɹ ɪ d
24	t w ɛ n t i f aʊ ə
24	t w ɛ n t i f aʊ ə ɹ
24	t w ɛ n t i f ə
24	t w ɛ n t i f ə ɹ
24	t w ɛ n t i f ɚ
6	s ɪ k s
5000	f aɪ v θ aʊ z ə n d
3	θ ɹ i
3	θ ɹ ɪ i
4	f ɔ
1	w ʌ n
1	ə ʊ n
2	t u
2	t u
4	f ɔ
1	w ʌ n
1	ə ʊ n
3	θ ɹ i
3	θ ɹ ɪ i
15	f ɪ f t i n
30	θ ə t i
32	θ ə t i t u
32	θ ɚ t i t u
70	s ɛ v ə n t i
150	w ʌ n h ʌ n d ɹ ə d æ n d f ɪ f t i
150	w ʌ n h ʌ n d ɹ ə d ə n d f ɪ f t i
150	w ʌ n h ʌ n d ɹ ɪ d æ n d f ɪ f t i
150	w ʌ n h ʌ n d ɹ ɪ d ə n d f ɪ f t i
150	ə ʊ n h ʌ n d ɹ ə d æ n d f ɪ f t i
150	ə ʊ n h ʌ n d ɹ ə d ə n d f ɪ f t i
150	ə ʊ n h ʌ n d ɹ ɪ d æ n d f ɪ f t i
150	ə ʊ n h ʌ n d ɹ ɪ d ə n d f ɪ f t i
100	w ʌ n h ʌ n d ɹ ə d
100	w ʌ n h ʌ n d ɹ ɪ d
100	ə ʊ n h ʌ n d ɹ ə d
100	ə ʊ n h ʌ n d ɹ ɪ d
300	θ ɹ i h ʌ n d ɹ ə d
300	θ ɹ i h ʌ n d ɹ ɪ d
300	θ ɹ ɪ i h ʌ n d ɹ ə d
300	θ ɹ ɪ i h ʌ n d ɹ ɪ d
140	w ʌ n h ʌ n d ɹ ə d æ n d f ɔ t i
140	w ʌ n h ʌ n d ɹ ə d æ n d f ɔ ɹ t i
140	w ʌ n h ʌ n d ɹ ə d ə n d f ɔ t i
140	w ʌ n h ʌ n d ɹ ə d ə n d f ɔ ɹ t i
140	w ʌ n h ʌ n d ɹ ɪ d æ n d f ɔ t i
140	w ʌ n h ʌ n d ɹ ɪ d æ n d f ɔ ɹ t i
140	w ʌ n h ʌ n d ɹ ɪ d ə n d f ɔ t i
140	w ʌ n h ʌ n d ɹ ɪ d ə n d f ɔ ɹ t i
140	ə ʊ n h ʌ n d ɹ ə d æ n d f ɔ t i
140	ə ʊ n h ʌ n d ɹ ə d æ n d f ɔ ɹ t i
140	ə ʊ n h ʌ n d ɹ ə d ə n d f ɔ t i
140	ə ʊ n h ʌ n d ɹ ə d ə n d f ɔ ɹ t i
140	ə ʊ n h ʌ n d ɹ ɪ d æ n d f ɔ t i
140	ə ʊ n h ʌ n d ɹ ɪ d æ n d f ɔ ɹ t i
140	ə ʊ n h ʌ n d ɹ ɪ d ə n d f ɔ t i
140	ə ʊ n h ʌ n d ɹ ɪ d ə n d f ɔ ɹ t i
45	f ɔ t f ɪ v
45	f ɔ t i f aɪ v
45	f ɔ t i f ɪ v
45	f ɔ ɹ t i f aɪ v
45	f ɔ ɹ t i f ɪ v
17	s ɛ v ə n t i n
1863	w ʌ n θ aʊ z ə n d eɪ t h ʌ n d ɹ ə d æ n d
1863	w ʌ n θ aʊ z ə n d eɪ t h ʌ n d ɹ ə d ə n d
1863	w ʌ n θ aʊ z ə n d eɪ t h ʌ n d ɹ ɪ d æ n d
