10	t ə n
10	t ɛ n
10	t ɪ n
160	w ʌ n h ʌ n d ɹ ə d æ n d s ɪ k s t i
160	w ʌ n h ʌ n d ɹ ə d ɑ n d s ɪ k s t i
160	w ʌ n h ʌ n d ɹ ə d ə n d s ɪ k s t i
160	w ʌ n h ʌ n d ɹ ɪ d æ n d s ɪ k s t i
160	w ʌ n h ʌ n d ɹ ɪ d ɑ n d s ɪ k s t i
160	w ʌ n h ʌ n d ɹ ɪ d ə n d s ɪ k s t i
200	t u h ʌ n d ɹ ə d
200	t u h ʌ n d ɹ ɪ d
24	t w ɛ n i f aʊ ɚ
24	t w ɛ n i f ɔ ɹ
24	t w ɛ n i f ə ɹ
24	t w ɛ n i f ɚ
24	t w ɛ n i f ʊ ə ɹ
24	t w ɛ n i f ʊ ɹ
24	t w ɛ n t i f ɔ ɹ
24	t w ɛ n t i f ə ɹ
24	t w ɛ n t i f ɚ
24	t w ɛ n t i f ʊ ɹ
6	s ɪ k s
5000	f aɪ v θ aʊ z n d
5000	f aɪ v θ aʊ z ə n d
3	θ ɹ i
4	f ɔ ɹ
1	w ʌ n
2	t u
2	t u
4	f ɔ ɹ
1	w ʌ n
3	θ ɹ i
15	f ɪ f t i n
30	θ ɝ t i
30	θ ɝ ɾ i
32	θ ɝ t i t u
32	θ ɝ t i t w ɔ
32	θ ɝ ɾ i t u
70	s ɛ v ə n t i
150	w ʌ n h ʌ n d ɹ ə d æ n d f ɪ f t i
150	w ʌ n h ʌ n d ɹ ə d ɑ n d f ɪ f t i
150	w ʌ n h ʌ n d ɹ ə d ə n d f ɪ f t i
150	w ʌ n h ʌ n d ɹ ɪ d æ n d f ɪ f t i
150	w ʌ n h ʌ n d ɹ ɪ d ɑ n d f ɪ f t i
150	w ʌ n h ʌ n d ɹ ɪ d ə n d f ɪ f t i
100	w ʌ n h ʌ n d ɹ ə d
100	w ʌ n h ʌ n d ɹ ɪ d
300	θ ɹ i h ʌ n d ɹ ə d
300	θ ɹ i h ʌ n d ɹ ɪ d
140	w ʌ n h ʌ n d ɹ ə d æ n d f ɔ ɹ t i
140	w ʌ n h ʌ n d ɹ ə d ɑ n d f ɔ ɹ t i
140	w ʌ n h ʌ n d ɹ ə d ə n d f ɔ ɹ t i
140	w ʌ n h ʌ n d ɹ ɪ d æ n d f ɔ ɹ t i
140	w ʌ n h ʌ n d ɹ ɪ d ɑ n d f ɔ ɹ t i
140	w ʌ n h ʌ n d ɹ ɪ d ə n d f ɔ ɹ t i
45	f ɑ ɹ ɾ f ɪ v
45	f ɑ ɹ ɾ i j f ɪ v
45	f ɔ t i f aɪ v
45	f ɔ ɹ t i f aɪ v
45	f ɔ ɹ t i f ɪ v
45	f ɔ ɹ ɾ i f aɪ v
17	s ɛ v ə n t i n
1863	w ʌ n θ aʊ z n d eɪ t h ʌ n d ɹ ə d æ n d
1863	w ʌ n θ aʊ z n d eɪ t h ʌ n d ɹ ə d ɑ n d
1863	w ʌ n θ aʊ z n d eɪ t h ʌ n d ɹ ə d ə n d
1863	w ʌ n θ aʊ z n d eɪ t h ʌ n d ɹ ɪ d æ n d
1863	w ʌ n θ aʊ z n d eɪ t h ʌ n d ɹ ɪ d ɑ n d
1863	w ʌ n θ aʊ z n d eɪ t h ʌ n d ɹ ɪ d ə n d
1863	w ʌ n θ aʊ z ə n d eɪ t h ʌ n d ɹ ə d æ n d
1863	w ʌ n θ aʊ z ə n d eɪ t h ʌ n d ɹ ə d ɑ n d
1863	w ʌ n θ aʊ z ə n d eɪ t h ʌ n d ɹ ə d ə n d
1863	w ʌ n θ aʊ z ə n d eɪ t h ʌ n d ɹ ɪ d æ n d
1863	w ʌ n θ aʊ z ə n d eɪ t h ʌ n d ɹ ɪ d ɑ n d
1863	w ʌ n θ aʊ z ə n d eɪ t h ʌ n d ɹ ɪ d ə n d
250	t u h ʌ n d ɹ ə d æ n d f ɪ f t i
250	t u h ʌ n d ɹ ə d ɑ n d f ɪ f t i
